BRAND-NAME,TETRAHYDROCANNABINOL-THC,TETRAHYDROCANNABINOL-ACID-THCA,CANNABIDIOLS-CBD,CANNABIDIOL-ACID-CBDA,A-PINENE,B-MYRCENE,B-CARYOPHYLLENE,B-PINENE,LIMONENE,OCIMENE,LINALOOL-LIN,HUMULENE-HUM,CBG,CBG-A,CANNABAVARIN-CBDV,CANNABICHROMENE-CBC,CANNBINOL-CBN,TETRAHYDROCANNABIVARIN-THCV,A-BISABOLOL,A-PHELLANDRENE,A-TERPINENE,B-EUDESMOL,B-TERPINENE,FENCHONE,PULEGOL,BORNEOL,ISOPULEGOL,CARENE,CAMPHENE,CAMPHOR,CARYOPHYLLENE-OXIDE,CEDROL,EUCALYPTOL,GERANIOL,GUAIOL,GERANYL-ACETATE,ISOBORNEOL,MENTHOL,L-FENCHONE,NEROL,SABINENE,TERPINEOL,TERPINOLENE,TRANS-B-FARNESENE,VALENCENE,A-CEDRENE,A-FARNESENE,B-FARNESENE,CIS-NEROLIDOL,FENCHOL,TRANS-NEROLIDOL
Calavec Flower SC T37 I 12022,0.28,36.3,0.28,0.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,0.28,,0.28,,,,,,0.28,,,,,,,,,,,,,,,,,,,,,
Calavec Flower T31 7327,0.44,30.07,0.44,0,,,,,,,,,,,,,,,,,,0.44,,0.44,,,,,,0.44,,,,,,,,,,,,,,,,,,,,,
Calavec Flower T32 I 8360,1.29,30.8,1.29,0.1,,,,,,,,,,,,,,,,,,1.29,,1.29,,,,,,1.29,,,,,,,,,,,,,,,,,,,,,
Calavec Flower T36 I 14038,0.28,35.45,0.28,0.13,,,,,,,,,,,,,,,,,,0.28,,0.28,,,,,,0.28,,,,,,,,,,,,,,,,,,,,,
Calavec Flower T37 I 12021,0.28,36.3,0.28,0.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,0.28,,0.28,,,,,,0.28,,,,,,,,,,,,,,,,,,,,,
CBD7:1 C462T68 10679,0.24,0.1,0.24,0.1,,,,,,,,,,,,,,,,,,0.24,,0.24,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,
Calavec Pre-Rolls T37 I 12087,0.28,36.3,0.28,0.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,0.28,,0.28,,,,,,0.28,,,,,,,,,,,,,,,,,,,,,
Calavec Pure Vape T423 I 12731,84,0.59,84,0.63,0,0,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,84,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Calavec Shorties T36 I 14264,0.28,35.45,0.28,0.13,,,,,,,,,,,,,,,,,,0.28,,0.28,,,,,,0.28,,,,,,,,,,,,,,,,,,,,,
Calavec Shorties T37 I 12088,0.28,36.3,0.28,0.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,0.28,,0.28,,,,,,0.28,,,,,,,,,,,,,,,,,,,,,
Caleten CH T42 S 9084,41.9,0.1,41.9,0.1,0,0,0,0,0,0,0,0,2.17,0,0,0,0,0,,,,41.9,,41.9,,,,,,41.9,,,,,,,,,,,,,,,,,,,,,
Caleten CK T59 S 10750,0.15,58.71,0.15,0.02,0,0,0,0,0,0,0,0,0,3.11,0,0,0,0,,,,0.15,,0.15,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,
Caleten DC Pure Vape T333 S 9513,66.4,0.27,66.4,0.1,0,0,1.11,0,0,0,0,0,2.75,0,0,0,0,0,,,,66.4,,66.4,,,,,,66.4,,,,,,,,,,,,,,,,,,,,,
Caleten Flower SC T25 S 9041,0.1,25.02,0.1,0.1,0,0,0,0,0,0,0,0,0,2.33,0,0,0,0,,,,0.1,,0.1,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,
Caleten Flower SC T26 4108,0.45,25.85,0.45,0,,0.92,1.54,0.96,0.64,,0.1,0.32,0.22,1.22,,,,,,,,0.45,,0.45,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,
Caleten Flower SC T28 S 10727,0.38,27.84,0.38,0.01,0,0,0,0,0,0,0,0,0,2.25,0,0,0,0,,,,0.38,,0.38,,,,,,0.38,,,,,,,,,,,,,,,,,,,,,
Caleten Flower T25 S 9037,0.1,25.02,0.1,0.1,0,0,0,0,0,0,0,0,0,2.33,0,0,0,0,,,,0.1,,0.1,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,
Caleten Flower T26 3565,0.45,25.85,0.45,0,,0.92,1.54,0.96,0.64,,0.1,0.32,0.22,1.22,,,,,,,,0.45,,0.45,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,
Caleten Flower T26 3577,0.49,26.03,0.49,0,,0.16,1.52,,0.1,,0.45,0.17,0.17,1.37,,,,,,,,0.49,,0.49,,,,,,0.49,,,,,0.48,,,,,,,,,,,,,,,,
Caleten Flower T28 S 10726,0.38,27.84,0.38,0.01,0,0,0,0,0,0,0,0,0,2.25,0,0,0,0,,,,0.38,,0.38,,,,,,0.38,,,,,,,,,,,,,,,,,,,,,
Caleten Pre-Rolls T25 S 9074,0,25.02,0,0,0,0,0,0,0,0,0,0,0,2.33,0,0,0,0,,,,0,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Caleten Pre-Rolls T28 S 10780,0.38,27.84,0.38,0.01,0,0,0,0,0,0,0,0,0,2.25,0,0,0,0,,,,0.38,,0.38,,,,,,0.38,,,,,,,,,,,,,,,,,,,,,
Caleten Pure Vape T356 S 11448,67.77,3.37,67.77,0,0,0,1.55,0,1.05,0,1.8,0,2.28,0,0,0,0,0,,,,67.77,,67.77,,,,,,67.77,,,,,,,,,,,,,,,,,,,,,
Caleten T250 4106 Vape,21.75,28.04,21.75,0,,,0.15,,,,,,0.92,1.01,,0.21,,,,,,21.75,,21.75,,,,,,21.75,,,,,,,,,,,,,,,,,,,,,
Caleten T327 4164 DC Pure Vape,32.47,32.99,32.47,0,,5.09,8.39,1.2,2.78,,,5.11,1.17,1.18,,,,,,,,32.47,,32.47,,,,,,32.47,,,,,,,,,,,,,,,,,,,,,
Caleten T340 4092 DC Pure Vape,35.61,32.05,35.61,0,,0.42,5.38,,4.29,,0.11,1.97,1.14,1.05,,,0.18,0.34,,,,35.61,,35.61,,,,,,35.61,,,,,,,,,,,,,,,,,,,,,
Caleten T342 4190 DC Pure Vape,35.21,33.21,35.21,0,,,5.5,,0.32,,1.42,1.55,1.14,1.43,,1.57,0.19,,,,,35.21,,35.21,,,,,,35.21,,,,,0.84,,,,,,,,,,,0.11,,,,,2.55
Caleten T87 4094 CS,14.08,72.95,14.08,0,,,0.17,,,,0.83,0.1,,2.12,,,0.28,,,,,14.08,,14.08,,,,,,14.08,,,,,,,,,,,,,,,,,,,,,
Caleten T87 4165 CS,22.58,64.4,22.58,0,,,0.13,,,,,0.1,,1.88,,,,,,,,22.58,,22.58,,,,,,22.58,,,,,0.12,,,,,,,,,,,,,,,,
Caleten T89 4191 CS,26.97,61.73,26.97,0,,,,,,,,,,2.03,,,0.45,,,,,26.97,,26.97,,,,,,26.97,,,,,,,,,,,,,,,,,,,,,
Caliaven Flower SC T30 I 11742,0.22,29.92,0.22,0.18,0,0,0,0,0,0,1.53,0,0,0,0,0,0,0,,,,0.22,,0.22,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,
Caliaven Flower T30 I 11741,0.22,29.92,0.22,0.18,0,0,0,0,0,0,1.53,0,0,0,0,0,0,0,,,,0.22,,0.22,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,
Caliaven Pure Vape T418 I 13196,81.6,2.08,81.6,0.18,0,0,1.26,0,0,0,0,0,0,0,0,0,0,0,,,,81.6,,81.6,,,,,,81.6,,,,,,,,,,,,,,,,,,,,,
Caliaven Shorties T30 I 11797,0.22,29.92,0.22,0.18,0,0,0,0,0,0,1.53,0,0,0,0,0,0,0,,,,0.22,,0.22,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,
Cannabidiol A 15,0.774,10.93,0.774,3.548,0.1,0.47,0.12,0.1,0.1,0.1,0.1,0.1,0.1,0.31,,0.1,0.1,,,,,0.774,,0.774,,,,,,0.774,,,,,,,,,,,,,,,,,,,,,
Cannabidiol A 1:1 Blondie NDC: 5757,0.45,0.1,0.45,0.1,,,,,,,,,,,,,,,,,,0.45,,0.45,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,
Cannabidiol A 1:1 Blondie NDC: 5972,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,0.1,,0.1,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,
Cannabidiol A 1:1 Capsules NDC: 4068,2.8,0.1,2.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,0.2,0.1,,,,,2.8,,2.8,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,
Cannabidiol A 1:1 Capsules NDC: 5235,2.71,0.1,2.71,0.1,,,,,,,,,,,,,,,,,,2.71,,2.71,,,,,,2.71,,,,,,,,,,,,,,,,,,,,,
Cannabidiol A 1:1 Capsules NDC: 5916,2.68,0.12,2.68,0.1,,,,,,,,,,,,,,,,,,2.68,,2.68,,,,,,2.68,,,,,,,,,,,,,,,,,,,,,
Cannabidiol A 1:1 Capsules V1,2.7,0.1,2.7,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,0.1,0.1,,,,,2.7,,2.7,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,
Cannabidiol A 1:1 Coconut Oil NDC: 4049,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,0.1,0.1,,,,,0.1,,0.1,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,
Cannabidiol A 1:1 Coconut Oil NDC: 5275,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,0.1,,0.1,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,
Cannabidiol A 1:1 Coconut Oil NDC: 5971,0.11,0.1,0.11,0.1,,,,,,,,,,,,,,,,,,0.11,,0.11,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,
Cannabidiol A 1:1 Honey NDC: 4085,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,0.1,0.1,,,,,0.1,,0.1,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,
Cannabidiol A 1:1 Honey NDC: 5274,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,0.1,,0.1,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,
Cannabidiol A 1:1 Honey NDC: 6256,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,0.1,,0.1,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,
Cannabidiol A 1:1 Honey V1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,0.1,0.1,,,,,0.1,,0.1,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,
Cannabidiol A 1:1 Lavender Lotion V1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,0.1,0.1,,,,,0.1,,0.1,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,
Cannabidiol A 1:1 Lemon Cookie NDC: 5294,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,0.1,,0.1,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,
Cannabidiol A 1:1 Lemon Cookie NDC: 6417,0.45,0.1,0.45,0.1,,,,,,,,,,,,,,,,,,0.45,,0.45,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,
Cannabidiol A 1:1 Oil T150 C175 NDC: 4003,29.9,0.1,29.9,1.5,0.1,0.1,1.1,0.1,0.1,0.1,0.1,0.3,0.4,0.5,,1.9,0.4,,,,,29.9,,29.9,,,,,,29.9,,,,,,,,,,,,,,,,,,,,,
Cannabidiol A 1:1 Oil T300 C355 NDC: 4004,29.9,0.1,29.9,1.5,0.1,0.1,1.1,0.1,0.1,0.1,0.1,0.3,0.4,0.5,,1.9,0.4,,,,,29.9,,29.9,,,,,,29.9,,,,,,,,,,,,,,,,,,,,,
Cannabidiol A 1:1 Oral Solution 1x  NDC: 4072,0.6,0.1,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,0.1,0.1,,,,,0.6,,0.6,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,
Cannabidiol A 1:1 Oral Solution 5x NDC: 4073,2.8,0.1,2.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,0.2,0.1,,,,,2.8,,2.8,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,
Cannabidiol A 1:1 Oral Solution NDC: 4338,1.6,0.1,1.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,0.1,0.1,,,,,1.6,,1.6,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,
Cannabidiol A 1:1 Pure Mini Vape T133 C111 NDC: 6261,42.6,1.69,42.6,0.66,0.1,0.1,0.25,0.1,0.1,0.1,0.1,0.1,1.36,0.43,0,2.78,0.86,0,,,,42.6,,42.6,,,,,,42.6,,,,,,,,,,,,,,,,,,,,,
Cannabidiol A 1:1 Pure VPen 325 NDC: 6215,42.6,1.69,42.6,0.66,0.1,0.1,0.25,0.1,0.1,0.1,0.1,0.1,1.36,0.43,0,0.86,0.86,0,,,,42.6,,42.6,,,,,,42.6,,,,,,,,,,,,,,,,,,,,,
Cannabidiol A 1:1 Pure VPen 426 NDC: 5210,36.2,0.1,36.2,0.57,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.34,0.24,0,2.98,1,0,,,,36.2,,36.2,,,,,,36.2,,,,,,,,,,,,,,,,,,,,,
Cannabidiol A 1:1 Pure VPen 472 NDC: 5792,42.6,1.69,42.6,0.66,0.1,0.1,0.25,0.1,0.1,0.1,0.1,0.1,1.36,0.43,0,2.78,0.86,0,,,,42.6,,42.6,,,,,,42.6,,,,,,,,,,,,,,,,,,,,,
Cannabidiol A 1:1 Slips NDC: 4078,7.7,0.1,7.7,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,,0.4,0.1,,,,,7.7,,7.7,,,,,,7.7,,,,,,,,,,,,,,,,,,,,,
Cannabidiol A 1:1 Slips T11.4 C10 NDC: 6436,7.3,0.3,7.3,0.12,,,,,,,,,,,,,,,,,,7.3,,7.3,,,,,,7.3,,,,,,,,,,,,,,,,,,,,,
Cannabidiol A 1:1 Slips T9.9 C10.4 NDC: 5248,6.5,0.1,6.5,0.11,,,,,,,,,,,,,,,,,,6.5,,6.5,,,,,,6.5,,,,,,,,,,,,,,,,,,,,,
Cannabidiol A 1:1 Sublingual Spray NDC: 4062,4.1,0.1,4.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,0.2,0.1,,,,,4.1,,4.1,,,,,,4.1,,,,,,,,,,,,,,,,,,,,,
Cannabidiol A 1:1 Sublingual Spray NDC: 4622,4.1,0.1,4.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,0.2,0.1,,,,,4.1,,4.1,,,,,,4.1,,,,,,,,,,,,,,,,,,,,,
Cannabidiol A 1:1 Sublingual Spray NDC: 5254,3.81,0.1,3.81,0.1,,,,,,,,,,,,,,,,,,3.81,,3.81,,,,,,3.81,,,,,,,,,,,,,,,,,,,,,
Cannabidiol A 1:1 Sublingual Spray NDC: 5918,4.32,0.16,4.32,0.1,,,,,,,,,,,,,,,,,,4.32,,4.32,,,,,,4.32,,,,,,,,,,,,,,,,,,,,,
Cannabidiol A 1:1 Sublingual Spray NDC: 6211,4.32,0.16,4.32,0.1,,,,,,,,,,,,,,,,,,4.32,,4.32,,,,,,4.32,,,,,,,,,,,,,,,,,,,,,
Cannabidiol A 1:1 Sublingual Spray V1,3.8,0.1,3.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,0.2,0.1,,,,,3.8,,3.8,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,
Cannabidiol A 1:1 Tablets NDC: 4036,0.9,0.1,0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,0.1,0.1,,,,,0.9,,0.9,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,
Cannabidiol A 1:1 Tablets NDC: 4317,1.4,0.1,1.4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,0.1,0.1,,,,,1.4,,1.4,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,
Cannabidiol A 1:1 Transdermal Bath Bomb NDC: 6245,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,0.1,,0.1,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,
Cannabidiol A 1:1 Transdermal Bath Salts NDC: 6233,3.81,0.1,3.81,0.1,,,,,,,,,,,,,,,,,,3.81,,3.81,,,,,,3.81,,,,,,,,,,,,,,,,,,,,,
Cannabidiol A 1:1 Transdermal Gel Pen NDC: 5951,1.34,0.1,1.34,0.1,,,,,,,,,,,,,,,,,,1.34,,1.34,,,,,,1.34,,,,,,,,,,,,,,,,,,,,,
Cannabidiol A 1:1 Transdermal Gel Pen NDC: 6232,1.42,0.1,1.42,0.1,,,,,,,,,,,,,,,,,,1.42,,1.42,,,,,,1.42,,,,,,,,,,,,,,,,,,,,,
Cannabidiol A 1:1 Transdermal Lotion NDC: 6231,0.11,0.1,0.11,0.1,,,,,,,,,,,,,,,,,,0.11,,0.11,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,
Cannabidiol A 1:1 VPen 225 NDC: 6219,28.7,1.11,28.7,0.42,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.11,0.91,0.28,0,1.85,0.57,0,,,,28.7,,28.7,,,,,,28.7,,,,,,,,,,,,,,,,,,,,,
Cannabidiol A 1:1 VPen 250 NDC: 3390,29.9,0.1,29.9,1.5,0.1,0.1,1.1,0.1,0.1,0.1,0.1,0.3,0.4,0.5,,1.9,0.4,,,,,29.9,,29.9,,,,,,29.9,,,,,,,,,,,,,,,,,,,,,
Cannabidiol A 1:1 VPen 300 NDC: 4056,30,0.1,30,1.5,0.1,0.1,0.4,0.1,0.1,0.1,0.2,0.1,1.7,0.4,,1.7,0.2,,,,,30,,30,,,,,,30,,,,,,,,,,,,,,,,,,,,,
Cannabidiol A 1:1 VPen 330 NDC: 5238,27.3,0.1,27.3,0.42,0.1,0.1,0.27,0.1,0.1,0.1,0.1,0.1,1.01,0.13,0,2.28,0.74,0,0.24,0,0,27.3,0,27.3,0,0,0,0,0,27.3,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cannabidiol A 1:1 VPen 330 NDC: 5936,28.7,1.11,28.7,0.42,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.11,0.91,0.28,0,1.85,0.57,0,,,,28.7,,28.7,,,,,,28.7,,,,,,,,,,,,,,,,,,,,,
Cannabidiol A 1:1 Water Soluble NDC: 4389,0.5,0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,0.1,0.1,,,,,0.5,,0.5,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,
Cannabidiol A 2:1 Vpen-200MG,45.3,0.07,45.3,0.289,0.1,0.1,0.15,0.1,0.1,,,0.1,1.24,0.32,,1.45,1.15,,,,,45.3,,45.3,,,,,,45.3,,,,,,,,,,,,,,,,,,,,,
Cannabidiol A 3:4 87.5 SH,2.1,36,2.1,48.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.3,0.8,,0.1,0.1,,,,,2.1,,2.1,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,
Cannabidiol A T7.12 C10.01 NDC: 3710,0.27,6.85,0.27,9.88,0.1,0.17,2.12,0.1,0.1,0.1,0.1,0.23,0.1,0.1,,0.1,0.1,,,,,0.27,,0.27,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,
Cannabidiol B 2:1 VPen 300MG,30.198,0.037,30.198,0.01,,,,,,,,,0.87,0.15,,1.06,0.34,,,,,30.198,,30.198,,,,,,30.198,,,,,,,,,,,,,,,,,,,,,
Cannabidiol C 1:1 Strips,7.13,0.01,7.13,0.77,,,,,,,,,0.23,0.1,,0.38,0.11,,,,,7.13,,7.13,,,,,,7.13,,,,,,,,,,,,,,,,,,,,,
Cannabidiol C Coconut Oil,0.1,0.01,0.1,0.01,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,0.1,0.1,,,,,0.1,,0.1,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,
Cannabidiol D 1:1 Blondie NDC: 6975,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,0.1,,0.1,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,
Cannabidiol D 1:1 CO Topical,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,0.1,0.1,,,,,0.1,,0.1,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,
Cannabidiol D 1:1 Capsules NDC: 3305,2.6,0.1,2.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,0.1,0.1,,,,,2.6,,2.6,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,
Cannabidiol D 1:1 Capsules NDC: 3783,2.6,0.1,2.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,0.1,0.1,,,,,2.6,,2.6,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,
Cannabidiol D 1:1 Capsules NDC: 5040,2.6,0.1,2.6,0.12,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.13,0.1,,0.16,0.1,,,,,2.6,,2.6,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,
Cannabidiol D 1:1 Capsules NDC: 6936,2.75,0.1,2.75,0.13,,,,,,,,,,,,,,,,,,2.75,,2.75,,,,,,2.75,,,,,,,,,,,,,,,,,,,,,
Cannabidiol D 1:1 Capsules,5.3,0.1,5.3,0.7,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,,0.1,0.1,,,,,5.3,,5.3,,,,,,5.3,,,,,,,,,,,,,,,,,,,,,
Cannabidiol D 1:1 Coconut Oil NDC: 6933,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,0.1,,0.1,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,
Cannabidiol D 1:1 Dulce de Leche Cookie,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,0.1,0.1,,,,,0.1,,0.1,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,
Cannabidiol D 1:1 Honey NDC: 3304,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,0.1,0.1,,,,,0.1,,0.1,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,
Cannabidiol D 1:1 Honey NDC: 3765,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,0.1,0.1,,,,,0.1,,0.1,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,
Cannabidiol D 1:1 Honey NDC: 5038,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,0.1,0.1,,,,,0.1,,0.1,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,
Cannabidiol D 1:1 Honey NDC: 6931,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,0.1,,0.1,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,
Cannabidiol D 1:1 Honey V1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,0.1,0.1,,,,,0.1,,0.1,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,
Cannabidiol D 1:1 Lemon Cookie NDC: 6976,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,0.1,,0.1,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,
Cannabidiol D 1:1 PAX ERA T176 C182 NDC: 6457,32.2,3.15,32.2,2.03,0.56,3.39,0.76,0.25,0.58,0.1,0.22,0.27,1.37,0.42,0,2.14,0.73,0,,,,32.2,,32.2,,,,,,32.2,,,,,,,,,,,,,,,,,,,,,
Cannabidiol D 1:1 PAX ERA T192 C191 NDC: 6804,38,0.56,38,1.62,0.1,0.28,0.76,0.1,0.5,0.1,0.28,0.26,1.71,0.26,0,2.04,0.58,0,,,,38,,38,,,,,,38,,,,,,,,,,,,,,,,,,,,,
Cannabidiol D 1:1 Pure 210 VPen V1,37.8,0.1,37.8,1.1,0.1,0.1,0.3,0.1,0.1,0.1,0.2,0.1,1.5,0.5,,2,0.2,,,,,37.8,,37.8,,,,,,37.8,,,,,,,,,,,,,,,,,,,,,
Cannabidiol D 1:1 Pure 215 VPen V1,38.8,0.1,38.8,4.9,0.1,0.2,0.6,0.1,0.2,0.1,0.2,0.2,1.4,0.6,,1.9,0.2,,,,,38.8,,38.8,,,,,,38.8,,,,,,,,,,,,,,,,,,,,,
Cannabidiol D 1:1 Pure Mini Vape T115 C114 NDC: 6803,38,0.56,38,1.62,0.1,0.28,0.76,0.1,0.5,0.1,0.28,0.26,1.71,0.26,0,2.04,0.58,0,,,,38,,38,,,,,,38,,,,,,,,,,,,,,,,,,,,,
Cannabidiol D 1:1 Pure Oil T364 C394 NDC: 5009,36.4,0.1,36.4,1.8,0.1,0.1,0.77,0.1,0.1,0.1,0.27,0.25,1.95,0.14,,2.28,0.27,,,,,36.4,,36.4,,,,,,36.4,,,,,,,,,,,,,,,,,,,,,
Cannabidiol D 1:1 Pure VPen 225 NDC: 3181,40.4,0.1,40.4,1.8,0.1,0.2,0.6,0.1,0.2,0.1,0.3,0.2,1.4,0.5,,2,0.2,,,,,40.4,,40.4,,,,,,40.4,,,,,,,,,,,,,,,,,,,,,
Cannabidiol D 1:1 Pure VPen 355 NDC: 3727,36.7,0.1,36.7,3.6,0.1,0.2,0.9,0.1,0.2,0.1,0.3,0.3,1,0.6,,1.6,0.2,,,,,36.7,,36.7,,,,,,36.7,,,,,,,,,,,,,,,,,,,,,
Cannabidiol D 1:1 Pure VPen 439 NDC: 5011,36.4,0.1,36.4,1.8,0.1,0.1,0.77,0.1,0.1,0.1,0.27,0.25,1.95,0.14,,2.28,0.27,,,,,36.4,,36.4,,,,,,36.4,,,,,,,,,,,,,,,,,,,,,
Cannabidiol D 1:1 Pure VPen T154 C152 NDC: 6802,38,0.56,38,1.62,0.1,0.28,0.76,0.1,0.5,0.1,0.28,0.26,1.71,0.26,0,2.04,0.58,0,,,,38,,38,,,,,,38,,,,,,,,,,,,,,,,,,,,,
Cannabidiol D 1:1 Slips T9.7 C9.5 NDC: 6974,7.54,0.11,7.54,0.3,,,,,,,,,,,,,,,,,,7.54,,7.54,,,,,,7.54,,,,,,,,,,,,,,,,,,,,,
Cannabidiol D 1:1 Strips,7,0.1,7,0.8,0.1,0.3,0.5,0.1,0.2,0.1,0.3,0.2,0.2,0.1,,0.4,0.1,,,,,7,,7,,,,,,7,,,,,,,,,,,,,,,,,,,,,
