BRAND-NAME,TETRAHYDROCANNABINOL-THC,TETRAHYDROCANNABINOL-ACID-THCA,CANNABIDIOLS-CBD,CANNABIDIOL-ACID-CBDA,A-PINENE,B-MYRCENE,B-CARYOPHYLLENE,B-PINENE,LIMONENE,OCIMENE,LINALOOL-LIN,HUMULENE-HUM,CBG,CBG-A,CANNABAVARIN-CBDV,CANNABICHROMENE-CBC,CANNBINOL-CBN,TETRAHYDROCANNABIVARIN-THCV,A-BISABOLOL,A-PHELLANDRENE,A-TERPINENE,B-EUDESMOL,B-TERPINENE,FENCHONE,PULEGOL,BORNEOL,ISOPULEGOL,CARENE,CAMPHENE,CAMPHOR,CARYOPHYLLENE-OXIDE,CEDROL,EUCALYPTOL,GERANIOL,GUAIOL,GERANYL-ACETATE,ISOBORNEOL,MENTHOL,L-FENCHONE,NEROL,SABINENE,TERPINEOL,TERPINOLENE,TRANS-B-FARNESENE,VALENCENE,A-CEDRENE,A-FARNESENE,B-FARNESENE,CIS-NEROLIDOL,FENCHOL,TRANS-NEROLIDOL
360X T509C10 2046,56.4,0.2,56.4,0.1,0.1,0.1,0.7,0.1,0.1,0.1,0.2,0.2,1.7,0.1,,1.4,1.3,0.5,,,,56.4,,56.4,,,,,,56.4,,,,,,,,,,,,,,,,,,,,,
360X T608C10 3974,52,0.9,52,0.2,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,1.6,0.7,0.1,0.9,0.4,0.6,,,,52,,52,,,,,,52,,,,,,,,,,,,,,,,,,,,,
360X T631C57 4911,51.3,0.1,51.3,0.14,0.1,0.1,0.35,0.1,0.1,0.1,0.1,0.14,1.38,0.14,0.1,1.28,0.61,0.46,,,,51.3,,51.3,,,,,,51.3,,,,,,,,,,,,,,,,,,,,,
360X T641C169 6680,55.7,0.25,55.7,0.98,0.1,0.1,0.46,0.1,0.17,0.1,0.11,0.15,1.82,0.16,0.1,1.4,0.64,0.51,,,,55.7,,55.7,,,,,,55.7,,,,,,,,,,,,,,,,,,,,,
360X T650C3 12937,62.45,0.03,62.45,0.1,0.1,0.1,0.37,0.1,0.1,0.1,0.1,0.19,0.37,0.1,0.1,0.1,4.94,0.49,0.1,0.1,0.1,62.45,0.1,62.45,0.1,0.1,0.1,0.1,0.1,62.45,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.32,0.1,0.47
360X T658C13 1536,49.8,5,49.8,0.1,0.1,0.1,0.5,0.1,0.1,0.1,0.1,0.1,1.5,0.4,,1.1,1.5,0.4,,,,49.8,,49.8,,,,,,49.8,,,,,,,,,,,,,,,,,,,,,
360X T667C2 9635,66.2,0.1,66.2,0.1,0.1,0.1,0.47,0.1,0.14,0.1,0.21,-/23,3.02,0.1,0.1,1.04,0.58,0.58,,,,66.2,,66.2,,,,,,66.2,,,,,,,,,,,,,,,,,,,,,
360X T676C4 9693,62.6,0.1,62.6,0.1,0.1,0.1,0.29,0.1,0.1,0.1,0.1,0.11,2.03,0.1,0.1,0.71,1.73,0.46,,,,62.6,,62.6,,,,,,62.6,,,,,,,,,,,,,,,,,,,,,
360X T704C2 8821,68.9,0.16,68.9,0.1,0.1,0.1,0.34,0.1,0.1,0.1,0.15,0.14,2.02,0.1,0.1,1.02,0.28,0.52,,,,68.9,,68.9,,,,,,68.9,,,,,,,,,,,,,,,,,,,,,
360X T726 11071,69.8,0.1,69.8,0.1,0.1,0.1,0.5,0.1,0.1,0.1,0.1,0.47,1.66,0.1,0.1,0.87,0.1,0.55,0.89,0.1,0.1,69.8,0.1,69.8,0.1,0.1,0.1,0.1,0.1,69.8,0.1,0.1,0.1,0.1,0.76,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
